index_id,result_from,livingArea,state,open_house_info,lotAreaValue,shouldHighlight,daysOnZillow,priceForHDP,homeStatusForHDP,unit,streetAddress,bedrooms,city,zpid,listing_sub_type,isUnmappable,openHouse,zipcode,homeStatus,longitude,bathrooms,isPremierBuilder,isPreforeclosureAuction,isZillowOwned,latitude,isShowcaseListing,lotAreaUnit,homeType,price,isNonOwnerOccupied,isFeatured,country,currency
1,listing_url,,ON,,,false,-1,499900,FOR_SALE,,445 Bridge Ave,7,Windsor,347741185,[object Object],false,,N9B2M3,FOR_SALE,-83.05935,2,false,false,false,42.30826,false,,SINGLE_FAMILY,499900,true,false,CAN,CAD
2,listing_url,,ON,,,false,-1,299900,FOR_SALE,,194 Bridge Ave,5,Windsor,2064302558,[object Object],false,,N9B2M2,FOR_SALE,-83.06152,2,false,false,false,42.3127,false,,SINGLE_FAMILY,299900,true,false,CAN,CAD
3,listing_url,,ON,[object Object],,false,-1,349900,FOR_SALE,,1119 Josephine Ave,4,Windsor,347563003,[object Object],false,Sun. 2-4pm,N9B2L6,FOR_SALE,-83.05237,2,false,false,false,42.299076,false,,SINGLE_FAMILY,349900,true,false,CAN,CAD
4,listing_url,,ON,,,false,-1,569000,FOR_SALE,,215 Curry Ave,4,Windsor,2056507110,[object Object],false,,N9B2B4,FOR_SALE,-83.05766,3,false,false,false,42.313683,false,,SINGLE_FAMILY,569000,true,false,CAN,CAD
5,listing_url,,ON,,,false,-1,479888,FOR_SALE,,1930 Dominion Blvd,4,Windsor,347521193,[object Object],false,,N9B3H9,FOR_SALE,-83.03713,2,false,false,false,42.286583,false,,SINGLE_FAMILY,479888,true,false,CAN,CAD
6,listing_url,,ON,,4878.72,false,-1,999900,FOR_SALE,,528 California Ave,9,Windsor,347636995,[object Object],false,,N9B2Y9,FOR_SALE,-83.06371,3,false,false,false,42.305744,false,sqft,SINGLE_FAMILY,999900,true,false,CAN,CAD
7,listing_url,,ON,[object Object],,false,-1,299900,FOR_SALE,,915 Randolph Ave,4,Windsor,347399356,[object Object],false,Sat. 2-4pm,N9B2V1,FOR_SALE,-83.05876,2,false,false,false,42.30102,false,,SINGLE_FAMILY,299900,true,false,CAN,CAD
8,listing_url,,ON,,0,false,-1,549000,FOR_SALE,,1251 McKay Ave,6,Windsor,2064329093,[object Object],false,,N9B2A8,FOR_SALE,-83.046936,3,false,false,false,42.298733,false,sqft,SINGLE_FAMILY,549000,true,false,CAN,CAD
9,listing_url,,ON,,,false,-1,299888,FOR_SALE,,449 Curry Ave,4,Windsor,347327647,[object Object],false,,N9B2B8,FOR_SALE,-83.05505,2,false,false,false,42.30963,false,,SINGLE_FAMILY,299888,true,false,CAN,CAD
10,listing_url,,ON,[object Object],6054.84,false,-1,739999,FOR_SALE,,1731 California Ave,4,Windsor,347636176,[object Object],false,Sat. 2-4pm,N9B3T5,FOR_SALE,-83.05192,4,false,false,false,42.28652,false,sqft,SINGLE_FAMILY,739999,true,false,CAN,CAD
11,listing_url,,ON,,,false,-1,399000,FOR_SALE,,223 Campbell Ave,6,Windsor,347517993,[object Object],false,,N9B2H1,FOR_SALE,-83.06002,2,false,false,false,42.312798,false,,SINGLE_FAMILY,399000,true,false,CAN,CAD
12,listing_url,,ON,,,false,-1,699900,FOR_SALE,,2211 California Ave,5,Windsor,345458368,[object Object],false,,N9B3V5,FOR_SALE,-83.046135,2,false,false,false,42.2775,false,,SINGLE_FAMILY,699900,true,false,CAN,CAD
13,listing_url,,ON,,,false,-1,299000,FOR_SALE,,933 Bridge Ave,4,Windsor,2076522945,[object Object],false,,N9B2M9,FOR_SALE,-83.0553,2,false,false,false,42.301968,false,,SINGLE_FAMILY,299000,true,false,CAN,CAD
14,listing_url,,ON,[object Object],,false,-1,599900,FOR_SALE,# 909,915 Randolph Ave #909,10,Windsor,347526113,[object Object],false,Sat. 2-4pm,N9B2V1,FOR_SALE,-83.05876,4,false,false,false,42.30102,false,,SINGLE_FAMILY,599900,true,false,CAN,CAD
15,listing_url,783,ON,,,false,-1,199900,FOR_SALE,,1223 California Ave,2,Windsor,347329973,[object Object],false,,N9B2Z8,FOR_SALE,-83.057495,1,false,false,false,42.2952,false,,SINGLE_FAMILY,199900,true,false,CAN,CAD
16,listing_url,,ON,,,false,-1,299999,FOR_SALE,,371 Josephine Ave,4,Windsor,347239573,[object Object],false,,N9B2K9,FOR_SALE,-83.05927,1,false,false,false,42.30971,false,,SINGLE_FAMILY,299999,true,false,CAN,CAD
17,listing_url,,ON,,,false,-1,509000,FOR_SALE,,1206 McKay Ave,4,Windsor,2067882602,[object Object],false,,N9B2A9,FOR_SALE,-83.04679,2,false,false,false,42.299644,false,,SINGLE_FAMILY,509000,true,false,CAN,CAD
18,listing_url,,ON,[object Object],,false,-1,799900,FOR_SALE,,1550 Saint Clair Ave,6,Windsor,2061965423,[object Object],false,Sat. 1-4pm,N9B3K7,FOR_SALE,-83.0559,3,false,false,false,42.29084,false,,SINGLE_FAMILY,799900,true,false,CAN,CAD
19,listing_url,,ON,,,false,-1,379000,FOR_SALE,,962 Merritt Dr,3,Windsor,347048689,[object Object],false,,N9B3C5,FOR_SALE,-83.05726,2,false,false,false,42.29989,false,,SINGLE_FAMILY,379000,true,false,CAN,CAD
20,listing_url,,ON,,,false,-1,399000,FOR_SALE,,649 Bridge Ave,4,Windsor,343557375,[object Object],false,,N9B2M5,FOR_SALE,-83.05782,1,false,false,false,42.30588,false,,SINGLE_FAMILY,399000,true,false,CAN,CAD