index_id,result_from,datePriceChanged,livingArea,state,open_house_info,lotAreaValue,shouldHighlight,daysOnZillow,priceForHDP,taxAssessedValue,providerListingID,homeStatusForHDP,unit,streetAddress,bedrooms,priceSuffix,rentZestimate,newConstructionType,city,zpid,listing_sub_type,isUnmappable,openHouse,zipcode,homeStatus,longitude,bathrooms,isPremierBuilder,isPreforeclosureAuction,group_type,isZillowOwned,latitude,zestimate,isShowcaseListing,lotAreaUnit,homeType,price,priceReduction,isNonOwnerOccupied,priceChange,isFeatured,country,timeOnZillow,currency
21,listing_url,1710918000000,1331,MI,,,false,35,359590,,29552886,FOR_SALE,# Q443JG,"Aspen at Avery Place Plan, Avery Place",2,+,2075,BUILDER_PLAN,Detroit,2053935271,[object Object],false,,48208,FOR_SALE,-83.08248,2,true,false,BUILDER_COMMUNITY,false,42.353264,345900,false,,TOWNHOUSE,359590,,true,15500,false,USA,3099533000,USD
22,listing_url,,1200,MI,[object Object],,false,53,409900,1400,,FOR_SALE,# 2,4130 Trumbull St #2,2,,2868,NEW_CONSTRUCTION_TYPE_OTHER,Detroit,331229732,[object Object],false,Sun. 1:30-3:30pm,48208,FOR_SALE,-83.0749,2,false,false,,false,42.346146,404300,false,,CONDO,409900,,true,,false,USA,4645515000,USD
23,listing_url,,0,MI,,0,false,38,0,,29619734,FOR_SALE,# SPJAK1,"Homes Available Soon, Scripps District",,+,2546,BUILDER_PLAN,Detroit,345613665,[object Object],false,,48208,FOR_SALE,-83.07364,,true,false,BUILDER_COMMUNITY,false,42.344063,,false,sqft,MULTI_FAMILY,0,,true,,false,USA,3313944000,USD
24,listing_url,,1150,MI,,4356,false,35,150000,42100,,FOR_SALE,,3722 Tillman St,4,,1385,,Detroit,88536279,[object Object],false,,48208,FOR_SALE,-83.09288,1,false,false,,false,42.33759,145300,false,sqft,SINGLE_FAMILY,150000,,true,,false,USA,3106215000,USD
25,listing_url,1698994800000,1331,MI,[object Object],,false,170,344090,,29552886,FOR_SALE,,1809 Merrick 5 St,2,,2348,BUILDER_SPEC,Detroit,2053935270,[object Object],false,Sat. 2:30-4pm,48208,FOR_SALE,-83.08248,3,true,false,,false,42.353264,333700,false,,TOWNHOUSE,344090,,true,-5000,false,USA,14754315000,USD
26,listing_url,,1418,MI,[object Object],,false,46,429900,1400,,FOR_SALE,# 6,4130 Trumbull St #6,2,,2997,,Detroit,331229736,[object Object],false,Sun. 1:30-3:30pm,48208,FOR_SALE,-83.0749,2,false,false,,false,42.346146,424600,false,,CONDO,429900,,true,,false,USA,4040715000,USD
27,listing_url,1707897600000,1936,MI,[object Object],,false,192,675000,,28731866,FOR_SALE,,1361 W Canfield St,3,,4652,BUILDER_SPEC,Detroit,2064260820,[object Object],false,Sat. 12-4pm,48208,FOR_SALE,-83.07499,3,true,false,,false,42.34842,658200,false,,CONDO,675000,,true,5000,false,USA,16655115000,USD
28,listing_url,1708502400000,1250,MI,,,false,115,385750,,,FOR_SALE,# 9,3415 Cochrane St #9,2,,2628,NEW_CONSTRUCTION_TYPE_OTHER,Detroit,2053655118,[object Object],false,,48208,FOR_SALE,-83.07453,3,false,false,,false,42.340443,373300,false,,TOWNHOUSE,385750,,true,3000,false,USA,10002315000,USD
29,listing_url,,1545,MI,,,false,668,99000,3500,,FOR_SALE,,4463 23rd St,4,,1700,,Detroit,88244778,[object Object],false,,48208,FOR_SALE,-83.09765,2,false,false,,false,42.341953,,false,,CONDO,99000,,true,,false,USA,57781515000,USD
30,listing_url,1711954800000,,MI,,0.37,false,103,900000,,,FOR_SALE,,5045 Trumbull St,,,1514,,Detroit,2056052463,[object Object],false,,48208,FOR_SALE,-83.07947,0,false,false,,false,42.352657,,false,acres,MULTI_FAMILY,900000,"$195,000 (Apr 1)",true,-195000,false,USA,8910662000,USD
31,listing_url,,1248,MI,,3920.4,false,74,20000,5600,,FOR_SALE,,2661 Nebraska St,3,,1314,,Detroit,88560172,[object Object],false,,48208,FOR_SALE,-83.09931,1,false,false,,false,42.357983,,false,sqft,SINGLE_FAMILY,20000,,true,,false,USA,6459915000,USD
32,listing_url,,1215,MI,,,false,72,398500,,,FOR_SALE,# 9,5216 Avery St #9,2,,2802,,Detroit,2052986954,[object Object],false,,48208,FOR_SALE,-83.08205,2,false,false,,false,42.353645,394900,false,,TOWNHOUSE,398500,,true,,false,USA,6287115000,USD
33,listing_url,,1350,MI,[object Object],,false,52,419900,1400,,FOR_SALE,# 4,4130 Trumbull St #4,2,,2936,,Detroit,331229734,[object Object],false,Sun. 1:30-3:30pm,48208,FOR_SALE,-83.0749,2,false,false,,false,42.346146,413900,false,,CONDO,419900,,true,,false,USA,4559115000,USD
34,listing_url,1709020800000,1916,MI,[object Object],,false,72,670000,,28731866,FOR_SALE,,4322 Lincoln St,3,,4588,BUILDER_SPEC,Detroit,2058139627,[object Object],false,Sat. 12-4pm,48208,FOR_SALE,-83.07486,3,true,false,,false,42.348,657100,false,,CONDO,670000,,true,5000,false,USA,6287115000,USD
35,listing_url,,2300,MI,,3920.4,false,71,250000,49600,,FOR_SALE,,3582 Tillman St,4,,1429,,Detroit,88546691,[object Object],false,,48208,FOR_SALE,-83.09247,1,false,false,,false,42.336884,240900,false,sqft,SINGLE_FAMILY,250000,,true,,false,USA,6178014000,USD
36,listing_url,,2326,MI,,3484.8,false,101,99900,18800,,FOR_SALE,,6073 15th St,,,1064,,Detroit,88304460,[object Object],false,,48208,FOR_SALE,-83.093796,2,false,false,,false,42.358505,99200,false,sqft,MULTI_FAMILY,99900,,true,,false,USA,8792715000,USD
37,listing_url,1711436400000,1545,MI,,,false,71,499999,,,FOR_SALE,,3305 Cochrane St,3,,3542,,Detroit,2068538379,[object Object],false,,48208,FOR_SALE,-83.074196,3,false,false,,false,42.339523,484800,false,,TOWNHOUSE,499999,"$10,000 (Mar 26)",true,-10000,false,USA,6200715000,USD
38,listing_url,1709193600000,1916,MI,[object Object],,false,44,675000,,28731866,FOR_SALE,,4321 Lincoln St,3,,4589,BUILDER_SPEC,Detroit,2054863225,[object Object],false,Sat. 12-4pm,48208,FOR_SALE,-83.07521,3,true,false,,false,42.34789,671700,false,,CONDO,675000,,true,9800,false,USA,3867915000,USD
39,listing_url,,1592,MI,,,false,295,556500,,,FOR_SALE,Unit 7,5220 Avery St UNIT 7,3,,3837,,Detroit,2056977261,[object Object],false,,48208,FOR_SALE,-83.08195,3,false,false,,false,42.35401,540100,false,,TOWNHOUSE,556500,,true,,false,USA,25554315000,USD
40,listing_url,,1278,MI,,,false,295,408500,,,FOR_SALE,Unit 2,5220 Avery St UNIT 2,2,,2817,,Detroit,2056978188,[object Object],false,,48208,FOR_SALE,-83.08195,3,false,false,,false,42.35401,397300,false,,TOWNHOUSE,408500,,true,,false,USA,25554315000,USD
41,listing_url,,946,MI,,6534,false,165,500000,17400,,FOR_SALE,,1748 Ferry Park St,1,,1034,,Detroit,88405087,[object Object],false,,48208,FOR_SALE,-83.0888,1,false,false,,false,42.363125,,false,sqft,SINGLE_FAMILY,500000,,true,,false,USA,14322315000,USD